@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1647,'2018/04/09 15:37:45:584',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648,'2018/04/09 15:37:45:633',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649,'2018/04/09 15:37:45:684',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650,'2018/04/09 15:37:45:734',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651,'2018/04/09 15:37:45:784',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1652,'2018/04/09 15:37:45:833',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653,'2018/04/09 15:37:45:883',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1654,'2018/04/09 15:37:45:933',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1655,'2018/04/09 15:37:45:984',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1656,'2018/04/09 15:37:46:033',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657,'2018/04/09 15:37:46:085',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1658,'2018/04/09 15:37:46:133',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1659,'2018/04/09 15:37:46:183',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1660,'2018/04/09 15:37:46:233',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1661,'2018/04/09 15:37:46:283',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662,'2018/04/09 15:37:46:334',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1663,'2018/04/09 15:37:46:385',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1664,'2018/04/09 15:37:46:433',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665,'2018/04/09 15:37:46:483',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1666,'2018/04/09 15:37:46:533',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667,'2018/04/09 15:37:46:584',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1668,'2018/04/09 15:37:46:634',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669,'2018/04/09 15:37:46:683',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670,'2018/04/09 15:37:46:733',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671,'2018/04/09 15:37:46:783',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1672,'2018/04/09 15:37:46:833',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1673,'2018/04/09 15:37:46:884',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1674,'2018/04/09 15:37:46:935',8,520.394287,340.54657,24.89579,524.4151,325.183533,38.774536,487.111572,359.251678,35.9114,442.204987,365.141693,35.879768,398.799438,362.050537,34.187481,0,0,0,0,0
1675,'2018/04/09 15:37:46:985',8,509.669006,348.765442,27.131941,483.862701,340.65802,42.38665,450.115265,356.353394,43.529358,396.872833,360.79361,43.813843,351.042572,364.308868,40.457565,0,0,0,0,0
