@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2018/04/04 20:23:36:530',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,'2018/04/04 20:23:36:611',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,'2018/04/04 20:23:36:668',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,'2018/04/04 20:23:36:715',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,'2018/04/04 20:23:36:809',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,'2018/04/04 20:23:36:918',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,'2018/04/04 20:23:36:966',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,'2018/04/04 20:23:37:043',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,'2018/04/04 20:23:37:253',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,'2018/04/04 20:23:37:727',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,'2018/04/04 20:23:37:777',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,'2018/04/04 20:23:37:869',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,'2018/04/04 20:23:37:925',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,'2018/04/04 20:23:37:982',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,'2018/04/04 20:23:38:051',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,'2018/04/04 20:23:38:113',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,'2018/04/04 20:23:38:228',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,'2018/04/04 20:23:38:382',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,'2018/04/04 20:23:38:476',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,'2018/04/04 20:23:38:563',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,'2018/04/04 20:23:38:871',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,'2018/04/04 20:23:38:967',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,'2018/04/04 20:23:39:077',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,'2018/04/04 20:23:39:170',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,'2018/04/04 20:23:39:236',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,'2018/04/04 20:23:39:469',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,'2018/04/04 20:23:39:636',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,'2018/04/04 20:23:39:771',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,'2018/04/04 20:23:39:818',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,'2018/04/04 20:23:39:867',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,'2018/04/04 20:23:39:914',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,'2018/04/04 20:23:39:968',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
